comment,ownerFullName,ownerUsername,url,commentsCount,firstComment,likesCount,time,queryTag,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,,type
"In a closely contested race, Bangladesh has edged ahead of India in per capita income. Though the gap is narrow, it has sparked global conversations about evolving economic dynamics.",Bollywood Society,bollywoodsocietyy,https://www.instagram.com/p/DXhe-h1CFRh/,6691,,167023,2026-04-24T17:43:42.000Z,,,,,,,,,,,,,,,,Instagram
"CHER ANNOUNCES SHE IS FLYING TO TEHRAN TO PERFORM A FREE PEACE CONCERT -- IRAN HAS ASKED FOR A DIFFERENT ARTIST

Los Angeles, CA -- Cher, 78, announced Monday via a series of all-caps tweets that she would be flying to Tehran to perform a free concert for peace, describing the performance as ""something I have to do as an artist and a human and also as someone who has been alive long enough to know that music is the only thing that actually works.""
Iran's foreign ministry issued a response within four hours. It was diplomatic but direct.
The statement read in part that while ""the Islamic Republic appreciated the spirit of the gesture,"" they would ""respectfully request that a different artist be considered"" and that the logistics of hosting a stadium concert during an active conflict presented ""significant scheduling challenges.""
Cher responded to the request in three tweets:

""THEY ASKED FOR A DIFFERENT ARTIST""
""I AM THE ARTIST""
""I WILL BE THERE THURSDAY""

Her production team confirmed the stage requires six days to assemble and that Thursday was not logistically possible. Cher said she was aware and that Thursday was a spiritual deadline not a technical one.
The Iranian government issued a second statement. It was firmer. Cher quoted it and added ""this is exactly what people said before the Farewell Tour and I did four of those.""
She announced a concert in a war zone. Iran asked for someone else.
She is not someone else. She is Cher. She is going Thursday spiritually.

#funny #comedy #fblifestyle #satire #FORENTERTAINMENTONLY",The Dude Humor Report,thedudehumorreport,https://www.instagram.com/p/DVqiuufFGgW/,554,,2025,2026-03-09T13:05:43.000Z,,funny,comedy,fblifestyle,satire,FORENTERTAINMENTONLY,,,,,,,,,,Instagram
"Energy Crisis Worse Than the 1970s ⛽️🌍
The International Energy Agency (IEA) has issued a chilling warning: the world is now facing an energy crisis more severe than the historic oil shocks of the 1970s.
Following strategic strikes on critical LNG facilities in both Iran and Qatar, global supply chains have been thrown into chaos. Brent crude prices have skyrocketed, currently trading near $119 per barrel, with experts predicting further volatility if regional tensions do not subside.
This massive disruption to liquefied natural gas and oil exports is expected to drive up inflation and utility costs worldwide. Governments are being urged to implement emergency energy-saving measures as the winter heating season approaches in several regions.
Stay tuned for more on how this impacts global markets. 📈
#EnergyCrisis #OilPrice #BreakingNews #BrentCrude #IEA",CCN News 360,ccnnews360,https://www.instagram.com/p/DWOYYOLj78H/,0,,2,2026-03-23T11:07:49.000Z,,EnergyCrisis,OilPrice,BreakingNews,BrentCrude,IEA,,,,,,,,,,Instagram
,Felice Elizabeth | Certified in blah blah blah,queenwithacrookedcrown,https://www.instagram.com/p/DW_fWp4jsr9/,0,,,2026-04-11T12:51:30.000Z,,,,,,,,,,,,,,,,Instagram
"Fuel prices have surged worldwide after the Iran war, with some countries seeing gas and diesel costs jump over 80%. 

#FuelPrices #IranWar #GlobalEconomy #EnergyCrisis 

[Iran, US, Strat Of Hormuz, Global Economy, Energy Crisis, Fuel, Petrol]",Sandeep Das,sandeepdasauthor,https://www.instagram.com/p/DXD5yDelaRp/,0,,57,2026-04-13T05:59:50.000Z,,FuelPrices,IranWar,GlobalEconomy,EnergyCrisis,,,,,,,,,,,Instagram
"The Philippines Just Made History, and sadly it’s not for a great reason 🇵🇭

The energy crisis is affecting Filipinos across the country but in typical Filipino fashion, people are unsurprisingly remaining positive.

It’s been a good reminder to keep God’s sovereignty in my mind, understanding that He’s still in control. 

God bless you

#philippines #filipino #philippines🇵🇭 #energycrisis #fuel",Cam Graham,camgrahamph,https://www.instagram.com/p/DWS5_wukxol/,556,Keep your philippines.  Blah blah blah. Keep posting nonsense for clicks and views,-1,2026-03-25T05:22:49.000Z,,philippines,filipino,philippines🇵🇭,energycrisis,fuel,,,,,,,,,,Instagram
"The International Energy Agency’s head warned Thursday that Europe maybe has six weeks left of jet fuel as the airline industry continues to grapple with headwinds due to the Middle East crisis.

IEA Executive Director Fatih Birol said the Strait of Hormuz blockade will result in “the largest energy crisis we have ever faced,” in an interview with The Associated Press on Thursday.

Tap the link in bio for more details.",CNBC,cnbc,https://www.instagram.com/p/DXMpeldDmo9/,61,Comedy gold,1088,2026-04-16T15:30:11.000Z,,,,,,,,,,,,,,,,Instagram
"Thoughts? I discuss why the world is facing an energy crisis that's being masked as a water crisis, and explain how nuclear power is the overlooked solution. I break down why one uranium pellet equals a ton of coal, why nuclear runs 24/7 without carbon emissions, and why it hasn't been adopted despite these advantages—pointing to the trillion-dollar fossil fuel system as the barrier. I explore how AI's explosive energy demands will create a capital flood into nuclear solutions, and highlight key investment opportunities in small modular reactors like Oklo and NuScale, uranium enrichment through Ventris, and major uranium producers like Cameco.",Armando Pantoja,tallguytycoon,https://www.instagram.com/p/DXYFaeet0hR/,24,Hydrogen,1293,2026-04-21T02:07:30.000Z,,,,,,,,,,,,,,,,Instagram
"🌍⚡ A Global Energy Crisis… Just as the Bible Foretold?

A recent article highlights a deepening global energy crisis—shortages, economic instability, and rising fears of renewed lockdowns and restrictions. Leaders warn that the world faces disruptions worse than the oil shocks of the 1970s. Power grids strained. Prices soaring. Nations anxious.

For Bible believers, this is not surprising.

Jesus said that near the end there would be “distress of nations, with perplexity” (Luke 21:25). He warned of “famines, pestilences, and earthquakes” and widespread turmoil (Matthew 24:7). Revelation 13 speaks of a time when economic pressure will be used to control buying and selling. These mounting global crises remind us that Earth’s systems—political, economic, and natural—are fragile.

The Bible also warns the wealthy and powerful who misuse resources: “The riches you have hoarded in the last days will testify against you” (James 5:1-8). Energy instability is more than economics—it reveals the shaking of a world disconnected from God’s principles.

Ellen White wrote:�“The present is a time of overwhelming interest to all living. Rulers and statesmen, men who occupy positions of trust and authority… are watching the relations that exist among the nations. They observe the intensity that is taking possession of every earthly element, and they recognize that something great and decisive is about to take place—that the world is on the verge of a stupendous crisis.”
— Prophets and Kings, p. 537

These events are not meant to cause fear—but preparation. 🙏 Now is the time to: 
✅ Study and know God’s Word personally
�✅ Strengthen your prayer life
�✅ Live out Biblical principles of faith, obedience, and trust�
✅ Share hope with others

As the world grows darker, Jesus calls us to look up: “When these things begin to come to pass, then look up… for your redemption draweth nigh.” (Luke 21:28) ✨

Energy crises. Economic uncertainty. Global instability. These are signs reminding us that Jesus is coming soon. Are we spiritually ready?

Sources: https://loom.ly/4KZa1iw
https://loom.ly/gs4o7_E
https://loom.ly/oTLr6Y4
https://loom.ly/KfkSzxc",3ABN,3abn_official,https://www.instagram.com/p/DWmMPProCOz/,5,Then The SUNDAY LAW.,213,2026-04-01T17:05:32.000Z,,,,,,,,,,,,,,,,Instagram
"Cuba is set to receive electricity from Turkish floating power plant Belgin Sultan. This as the country's ongoing energy crisis continues.

A report from Turkish local media highlights that the power plant is now stationed at the Port of Havana.

🔗Tap the link in our bio for the full story.

#NationWide #NW90FM #MyNationWide #NWRegional",Nationwide News Network,nationwide90fm,https://www.instagram.com/p/DW2BMRsD7qq/,448,,10460,2026-04-07T20:34:47.000Z,,NationWide,NW90FM,MyNationWide,NWRegional,,,,,,,,,,,Instagram
"Amid the ongoing global energy crisis, financial institution JP Morgan has identified Malaysia and China as the most economically resilient nations in Asia. According to Rajiv Batra, head of Asia equity strategy at the firm, other regional countries currently appear highly vulnerable to this sudden oil supply shock.

Malaysia stands out prominently due to its strong position as a net energy exporter. Batra noted that the nation benefits from a well managed fiscal deficit and moderate inflation rates. These existing buffers are expected to provide substantial support for both the local currency and domestic equity markets during turbulence.

China is similarly shielded from the crisis, primarily because imported energy accounts for only five percent of its electricity production. Furthermore, China maintains a massive strategic reserve capacity of nearly 1.7 billion barrels. The nation also relies heavily on domestic alternatives, including extensive renewable energy sources and substantial coal reserves.

Despite this resilience, the broader Asian market faces significant challenges. Batra warned that corporate earnings growth in Asia could decline from an initial 31 percent forecast to 26 percent for 2026. Sectors like consumer staples, utilities, and downstream companies are expected to bear the immediate impacts of global economic slowdowns.

This crisis stems from rising oil prices amid Middle East supply disruptions, with US crude climbing to $99.64 per barrel and Brent crude reaching $112.57. Batra cautioned that equity markets are not fully pricing in the worst outcomes, which could eventually impact technology, healthcare, and telecommunications sectors heavily going forward into 2026.

#Seasia #SeasiaNews",Seasia News,seasia.news,https://www.instagram.com/p/DWu3cHcCXdR/,158,"Wrong, we got nothing. Fake news. Let us be at peace.",2436,2026-04-05T01:54:52.000Z,,Seasia,SeasiaNews,,,,,,,,,,,,,Instagram
"Over 100 gas stations across New South Wales have officially run out of diesel as panic buying sweeps through Australia. This shortage follows intensifying global oil disruptions and warnings of crude prices hitting $180 per barrel.

Long queues have formed at major metropolitan pumps, with many commuters attempting to stockpile fuel for the coming weeks. Authorities are urging for calm, though the physical supply of diesel remains constrained by recent Gulf refinery strikes.

The Australian government is reportedly monitoring national fuel reserves to ensure essential services remain operational. Transport and logistics sectors are already seeing delays as fuel accessibility becomes a primary concern for the trucking industry.

Economists warn that these localized shortages could drive immediate price spikes for groceries and consumer goods across the country. The reliance on imported refined fuels makes the Australian market particularly vulnerable to the ongoing Middle East conflict.

If global trade routes in the Strait of Hormuz remain under threat, these regional fuel ""dry spells"" may expand to other Australian states. For now, New South Wales remains the hardest hit as citizens prepare for a potential long-term energy crisis.

#AustraliaNews #FuelShortage #Diesel #BreakingNews #EnergyCrisis #NSW #OilPrices",Tech Times,techtimesofficial,https://www.instagram.com/p/DWId46ZDtxe/,8,The Orange pedophiles fan base are desperate to pin this on Albanese. But it's actually the case that the same people with high incomes that are stockpiling diesel for their Landcruisers etc are LNP voters and Trump supporters.,136,2026-03-21T04:00:38.000Z,,AustraliaNews,FuelShortage,Diesel,BreakingNews,EnergyCrisis,NSW,OilPrices,,,,,,,,Instagram
"🔴 The world’s 12th-largest economy has emerged as the frontline of the global energy crisis triggered by the conflict, with its oil reserves at risk of running dry even if Tehran reopens the Strait of Hormuz to tankers with immediate effect.⁠
⁠
Among developed countries, South Korea is almost uniquely lacking in natural resources including coal, oil and gas, relying on imports to meet 90pc of its energy needs.⁠
⁠
Lee Jae Myung, the South Korean president, warned this month that the conflict between the US and Iran also represented a “war-like situation” for Koreans.⁠
⁠
Find out how the lights may begin to go out across South Korea in a matter of weeks at the link in our bio 🖇️",The Telegraph,telegraph,https://www.instagram.com/p/DXXHClmkxrs/,322,Well then maybe South Korea can throw a little help behind the US.  Everyone in the west think the United States for getting rid of a nuclear Iran,8252,2026-04-20T17:00:52.000Z,,,,,,,,,,,,,,,,Instagram
"Japan wants to wrap the Moon in a belt of solar panels 6,800 miles long and beam unlimited clean energy back to Earth forever. And the idea is less science fiction than it sounds.

The concept is called the Luna Ring, proposed by Japanese construction firm Shimizu Corporation. The ring would stretch along the entire lunar equator, ranging in width from a few kilometers to 400 kilometers at its widest point. The Moon has no atmosphere, no clouds, no weather, and no night cycle at its equator. One side or the other is always in direct sunlight. That means uninterrupted solar power generation around the clock, every single day, forever.

Solar cells on the lunar equator would convert sunlight into electricity, cables would carry that power to the Earth-facing side of the Moon, and from there microwave beams and high energy lasers would transmit it down to receiving stations on the ground.

The numbers are staggering. In its most expansive form the project could generate up to 13,000 terawatts of energy per hour, a level that would far exceed current global electricity needs if realized at scale. For context, total global energy consumption today is around 18 terawatts. The Luna Ring would produce roughly 700 times that.

Construction would be handled by robots controlled from Earth, using materials already on the Moon. Lunar soil would be turned into concrete, glass fiber, and structural blocks built entirely on site. No massive cargo missions required.

The obvious questions are cost, feasibility, and timeline. Shimizu has not secured funding, received no official endorsement from space agencies, and has no active development timeline. The technology to beam gigawatts of power accurately across 238,000 miles of space does not yet exist at scale.

But neither did GPS once. Neither did the internet. Neither did landing on the Moon.

The energy crisis is real. The climate crisis is real. And sometimes the most important ideas are the ones that sound completely impossible until they suddenly are not.",AstroPhilesz,astrophilesz,https://www.instagram.com/p/DXp8COsDLRZ/,105,Please let this be true.,909,2026-04-28T00:30:13.000Z,,,,,,,,,,,,,,,,Instagram
"“I’ve worked in the White House during an energy crisis. There are no policy solutions to a prolonged closure of the Strait of Hormuz,” says Bob McNally, a former White House energy adviser.
Iranian threats have stalled the vital oil route, sending gas prices surging.

“You open up the toolkit, and the tools in there, the options range from marginal, through symbolic, to deeply unwise. Escorts are a sideshow, strategic stock releases are a sideshow,” says McNally. “Gas tax holiday, sideshow.”

McNally says he supports the U.S. attacks on Iran. “I believe that what President Trump is doing in terms of defanging the Iranian regime is principled, courageous, and correct,” he says.",60 Minutes,60minutes,https://www.instagram.com/p/DV9E3xdkUnE/,303,"Why are this former advisors going public and giving the enemy the status of the situation.  This makes no sense,  all the advisors and media continues to embolden the enemy daily. Just tell the enemy how to challenge the US and how to win against the US.  Maybe the media and advisors have interest and benefit from this type of information",8419,2026-03-16T17:51:20.000Z,,,,,,,,,,,,,,,,Instagram
"Thoguhts? 

We discuss the emerging global energy crisis and fuel rationing measures being implemented worldwide. Countries like Slovenia and South Korea are limiting fuel purchases through QR codes at gas pumps, while the Philippines grounds flights due to fuel shortages. We explore how governments are pushing work-from-home mandates and how this energy crisis could be as impactful as the COVID-19 pandemic. We examine why energy is the foundation of everything and how the power triad of compute, data, and energy will dominate the new world, warning that this represents a major system shift with far-reaching consequences for supply chains, financial markets, and global stability.",Armando Pantoja,tallguytycoon,https://www.instagram.com/p/DWRlb6Etj9E/,1700,We are almost in May...,56632,2026-03-24T17:00:42.000Z,,,,,,,,,,,,,,,,Instagram
"The 2026 ranking of the world’s most resilient countries during the energy crisis, based on J.P. Morgan data, places South Africa at the top, followed by Indonesia and China. These three countries stand out for their ability to withstand global energy shocks through a mix of domestic resources, policy flexibility, and adaptive economic structures. South Africa’s energy sector reforms, Indonesia’s resource base and subsidy management, and China’s diversified supply chains all contribute to their strong resilience profiles.

Beyond the top three, the list reflects a diverse mix of economies, including Uzbekistan, the United States, and Australia, each benefiting from varying degrees of energy independence or resource wealth. European representation such as Sweden and Romania highlights the role of efficiency and transition strategies, while countries like Pakistan and Peru demonstrate resilience through demand management and structural adjustments. Together, the rankings underline that resilience is not solely about wealth, but about adaptability and energy security strategies.

In Southeast Asia, Indonesia’s high ranking has broader implications for its major cities such as Jakarta, Surabaya, and emerging hubs like Batam. Strong resilience at the national level helps stabilize urban economies, ensuring energy supply for industries, transportation, and growing digital ecosystems. As Southeast Asian cities continue to urbanize rapidly, Indonesia’s position signals how the region can better prepare for future energy disruptions while sustaining growth and livability.",Seasia Stats,seasia.stats,https://www.instagram.com/p/DXjkxxkkZnR/,255,"Seedhi baat: ye realistic nahi lagti. Kyun?
🇵🇰 Pakistan → khud severe energy crisis face karta hai (load shedding, imports dependency)
🇿🇦 South Africa → waha bhi electricity crisis (power cuts) common hai
🇺🇿 Uzbekistan → global top resilience me usually nahi aata
Big energy exporters jaise Norway, Saudi Arabia, UAE missing hain ❌
👉 Agar ye sach me J.P. Morgan ka data hota, to list me:
Oil-rich countries
Strong infrastructure
Stable economies
zyada dominate karte.
🧠 Conclusion (important)
👉 Ye image viral social media post lagti hai, not verified report.
👉 Log often fake “JP Morgan / data 2026” likh dete hain trust gain karne ke liye.",1791,2026-04-25T13:11:43.000Z,,,,,,,,,,,,,,,,Instagram
"Breaking: Russian tanker arrives in Cuba with 100k tons of crude oil.
A Russian-flagged tanker carrying roughly 100,000 tons (~730,000 barrels) of crude has docked at Matanzas, marking Cuba’s first oil shipment in months amid a severe energy crisis. The delivery could temporarily ease blackouts and fuel shortages as Russia signals continued support despite U.S. sanctions pressure. ￼

Sources: Reuters, AP News, El País ￼

#usa #cuba #russia",Geopolitics | History | Truth,geo.politicss_,https://www.instagram.com/p/DWhUIpiE38S/,566,"@poppop21959 Better than the Epstein elites, pedo cunt.",19087,2026-03-30T19:36:43.000Z,,usa,cuba,russia,,,,,,,,,,,,Instagram
"More than 50 countries including Germany, the UK, Brazil, Nigeria and Australia are due to gather in Colombia this week for the first international meeting dedicated to phasing out fossil fuels, despite the absence of the world’s top three carbon-emitting nations.⁠
⁠
Irene Veléz Torres, environment minister of Colombia, which is co-hosting the event with the Netherlands, said the talks would be ‘difficult’, but the energy crisis had made them more relevant.⁠
⁠
Tap the link in our bio to read more.⁠
⁠
Photo credit: Luis Acosta/AFP/Getty Images⁠
⁠
Image description: Aerial view of the port in Santa Marta, Colombia. Text on image reads: Colombia hosts first meeting to quit fossil fuels as energy crisis worsens",FT Climate,ftclimate,https://www.instagram.com/p/DXnplVnjlNB/,114,💩💩💩🤡🤡🤡,6891,2026-04-27T03:10:39.000Z,,,,,,,,,,,,,,,,Instagram
"International authorities are now advising the public to work from home, reduce their speeds on open roads, and even forgo the use of gas cookers in their homes to weather the global energy crisis. 

More ⬇️ 
https://endtimeheadlines.org/2026/03/iae-advises-work-from-home-drive-slower-and-dont-use-gas-cookers-to-make-it-through-the-global-energy-crisis/

#EnergyCrisis #GlobalRestructuring #EconomicShift #NationalSecurity",End Time Headlines,endtimeheadline,https://www.instagram.com/p/DWIQoJ8Do5l/,11,😂😂😂😂😂😂😂,174,2026-03-21T02:04:35.000Z,,EnergyCrisis,GlobalRestructuring,EconomicShift,NationalSecurity,,,,,,,,,,,Instagram
"Even after the Strait of Hormuz reopens, the ongoing energy crisis could prove as severe as the oil shocks of the 1970s, with conditions unlikely to return to normal anytime soon, Prime Minister Lawrence Wong warned on Friday (May 1).

Damaged ports, mine-clearing operations and the need to restore market confidence mean recovery will take months at minimum, he said at the annual May Day Rally. “In fact, the pressures are likely to intensify. Supply disruptions will persist and may worsen in the months ahead.”

Find out more through the link in bio @businesstimessg",The Business Times,businesstimessg,https://www.instagram.com/p/DXx6Qn8kQIT/,4,Jobs and scholarships priority for Singaporeans. This is our country. Say NO to foreign hires----->,113,2026-05-01T02:48:44.000Z,,,,,,,,,,,,,,,,Instagram
"Tel khatam got real😋💔

Pakistan’s deepening energy crisis is now out in the open. Petroleum Minister Ali Malik has admitted that the country is running dangerously low on fuel, with crude oil reserves lasting barely 5–7 days.

“We have no strategic reserves… we operate on commercial supplies,” Malik said, highlighting the fragile state of Pakistan’s energy security. In a striking comparison, he added that Pakistan is “not like India, which can release 60–70 days of oil reserves with one signature.”

This statement underscores a harsh reality: while India has built substantial strategic petroleum reserves to cushion global shocks, Pakistan remains heavily dependent on continuous imports and short term supply chains. Any disruption, whether geopolitical tensions, currency instability, or supply bottlenecks, can push the country toward a full blown fuel crisis within days.

With rising inflation, a weakening currency, and mounting external debt, Pakistan’s limited energy buffer raises serious concerns about economic stability and national preparedness. The contrast also highlights how long term planning and energy security investments can define a nation’s resilience in times of crisis.

Fuel crisis, economic pressure, and policy gaps Pakistan finds itself at a critical crossroads.",Modi Sama,hokagemodisama,https://www.instagram.com/p/DXrZc35EV7k/,316,Par bhai hamara compitition to china se tha naa😢😢,30829,2026-04-28T14:06:32.000Z,,,,,,,,,,,,,,,,Instagram
